article_id;full_name;sex;birth_year;city;state;country;continent;latitude;longitude;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
20405;Miles Davis;Male;1926;St. Louis;IL;United States;North America;3.890.056;-9.015.972;Musician;Music;Arts;60;11190861;186514;264.766
62131;Nicolas Poussin;Male;1594;Les Andelys;;France;Europe;492.461;14.125;Painter;Fine Arts;Arts;60;2594971;43250;264.761
45343;Erich Fromm;Male;1900;Frankfurt;;Germany;Europe;5.011.667;868.333;Psychologist;Social Sciences;Science & Technology;53;5234284;98760;264.744
82061;Tina Turner;Female;1939;Nutbush;TN;United States;North America;3.569.806;-8.940.806;Singer;Music;Arts;55;17937526;326137;264.713
64384;Pieter Brueghel the Elder;Male;1525;Son en Breugel;;Netherlands;Europe;5.151.667;5.5;Painter;Fine Arts;Arts;70;4235421;60506;264.699
9633432;Peisistratos;Male;-600;Athens;;Greece;Europe;3.796.667;2.371.667;Politician;Government;Institutions;32;1099719;34366;26.468
65414;Jacques Offenbach;Male;1819;Cologne;;Germany;Europe;5.093.639;695.278;Composer;Music;Arts;71;2493602;35121;26.467
15992;Jimmy Carter;Male;1924;Plains;GA;United States;North America;3.203.361;-8.439.333;Politician;Government;Institutions;104;20970951;201644;264.648
10245;Edward VI of England;Male;1537;Middlesex;;United Kingdom;Europe;5.140.333;-0.3375;Politician;Government;Institutions;60;9258916;154315;264.643
144163;Philip the Arab;Male;204;Shahba;;Syria;Asia;3.285.417;3.662.917;Nobleman;Government;Institutions;50;1159533;23191;26.461
195684;Anicius Manlius Severinus Boethius;Male;480;Rome;;Italy;Europe;41.9;12.5;Philosopher;Philosophy;Humanities;53;1586223;29929;264.591
31182;Toyotomi Hideyoshi;Male;1537;Nagoya;;Japan;Asia;3.516.861;13.687.306;Politician;Government;Institutions;42;9925391;236319;264.573
44393;Claudius II;Male;213;Syrmia;;Serbia;Europe;4.498.333;1.961.667;Politician;Government;Institutions;48;714668;14889;264.543
24284;Pope Urban II;Male;1035;Lagery;;France;Europe;492.103;37.458;Religious Figure;Religion;Institutions;65;2021722;31103;264.536
46607;Catiline;Male;-108;Rome;;Italy;Europe;;;Politician;Government;Institutions;35;1421471;40613;264.465
51695;Franz Joseph I of Austria;Male;1830;Vienna;;Austria;Europe;4.818.452;1.631.187;Politician;Government;Institutions;53;6287144;118625;264.459
16215;John Milton;Male;1608;Cheapside;;United Kingdom;Europe;515.141;-0.0937;Writer;Language;Humanities;64;5667212;88550;264.445
4380457;Lady Jane Grey;Female;1537;Leicestershire;;United Kingdom;Europe;5.271.667;-118.333;Nobleman;Government;Institutions;51;7771087;152374;264.382
34289;Yasser Arafat;Male;1929;Cairo;;Egypt;Africa;30.05;3.123.333;Politician;Government;Institutions;94;10754953;114414;264.376
36845;Henry Dunant;Male;1828;Geneva;;Switzerland;Europe;46.2;6.15;Social Activist;Activism;Public Figure;67;2504758;37384;264.338
18031;Leone Battista Alberti;Male;1404;Genoa;;Italy;Europe;4.441.111;893.278;Architect;Design;Arts;43;2793014;64954;264.331
200530;Alexander IV of Macedon;Male;-323;Other;;Unknown;Unknown;;;Politician;Government;Institutions;35;1017791;29080;264.292
90843;Manco Capac;Male;-3500;Other;;Unknown;Unknown;;;Politician;Government;Institutions;30;1443259;48109;264.292
27884;Walter Scott;Male;1771;Edinburgh;;United Kingdom;Europe;5.595.306;-318.889;Writer;Language;Humanities;64;4165043;65079;264.268
25093;Philip II of France;Male;1165;Paris;;France;Europe;489.875;24.494;Politician;Government;Institutions;56;2615867;46712;26.418
11955;George H. W. Bush;Male;1924;Boston;MA;United States;North America;42.25;-7.106.667;Politician;Government;Institutions;109;21361900;195981;264.172
148683;Didius Julianus;Male;137;Milan;;Italy;Europe;4.546.667;918.333;Politician;Government;Institutions;53;1071432;20216;264.135
33718;William Faulkner;Male;1897;New Albany;MS;United States;North America;3.449.222;-8.900.944;Writer;Language;Humanities;77;7509739;97529;264.126
9210500;Eva Braun;Female;1912;Munich;;Germany;Europe;4.813.333;1.156.667;Companion;Companions;Public Figure;63;12507571;198533;264.095
33820;Wassily Kandinsky;Male;1866;Moscow;;Russia;Europe;55.75;3.761.667;Artist;Fine Arts;Arts;56;10503557;187564;264.085
245189;Menes;Male;-3500;Other;;Unknown;Unknown;;;Politician;Government;Institutions;42;1186783;28257;264.066
70602;Jacques Cartier;Male;1491;Saint-Malo;;France;Europe;486.481;-20.075;Explorer;Explorers;Exploration;106;4518119;42624;264.038
22149;Nagarjuna;Male;150;Other;;India;Asia;13;77;Philosopher;Philosophy;Humanities;50;1758764;35175;264.005
15229;Ibn Battuta;Male;1304;Tangier;;Morocco;Africa;3.576.667;-5.8;Explorer;Explorers;Exploration;84;4716698;56151;264.002
24310;Pope Silvester I;Male;300;Rome;;Italy;Europe;41.9;12.5;Religious Figure;Religion;Institutions;66;1078846;16346;263.998
1767;Ammianus Marcellinus;Male;320;Antioch;;Turkey;Asia;36.2;36.15;Writer;Language;Humanities;48;677989;14125;263.993
161420;Sallust;Male;-86;Amiternum;;Italy;Europe;4.240.056;13.306;Historian;History;Humanities;41;1318660;32162;263.943
146607;Al-Ghazali;Male;1058;Tous;;Iran;Asia;3.645.417;5.956.694;Philosopher;Philosophy;Humanities;78;2570412;32954;263.939
319571;Zhang Fei;Male;168;Zhuozhou;;China;Asia;3.948.333;11.596.667;Military Personnel;Military;Institutions;26;2351392;90438;263.918
210191;Philo;Male;-20;Alexandria;;Egypt;Africa;31.2;2.991.667;Philosopher;Philosophy;Humanities;43;1466039;34094;263.902
9110;Diophantus;Male;200;Alexandria;;Egypt;Africa;;;Mathematician;Math;Science & Technology;46;1245232;27070;263.902
4527;Béla Bartók;Male;1881;Sânnicolau Mare;;Romania;Europe;4.607.222;2.062.944;Composer;Music;Arts;62;4455558;71864;26.39
86895;Anthony of Padua;Male;1195;Lisbon;;Portugal;Europe;3.871.389;-913.944;Physician;Medicine;Science & Technology;47;5882249;125154;263.888
85731;Catherine of Alexandria;Female;287;Alexandria;;Egypt;Africa;31.2;2.991.667;Religious Figure;Religion;Institutions;46;2404843;52279;263.865
13509;H. P. Lovecraft;Male;1890;Providence;RI;United States;North America;4.182.361;-7.142.222;Writer;Language;Humanities;62;11855235;191213;263.853
47944;Joseph of Arimathea;Male;-50;Other;;Unknown;Unknown;;;Religious Figure;Religion;Institutions;30;1813153;60438;263.826
44463;Sophia Loren;Female;1934;Rome;;Italy;Europe;41.9;12.5;Actor;Film And Theatre;Arts;70;14288949;204128;263.822
179601;Tullus Hostilius;Male;-700;Other;;Unknown;Unknown;;;Politician;Government;Institutions;36;601447;16707;263.811
16555;John the Evangelist;Male;15;Jerusalem;;Israel;Asia;3.178.333;3.521.667;Writer;Language;Humanities;28;2209312;78904;263.811
282522;Nicholas of Cusa;Male;1401;Bernkastel-Kues;;Germany;Europe;4.991.611;706.944;Mathematician;Math;Science & Technology;43;1579368;36729;263.781
2241;Antonio Salieri;Male;1750;Legnago;;Italy;Europe;4.519.444;113.125;Composer;Music;Arts;52;4543173;87369;263.772
654507;Abu Nuwas;Male;756;Ahvaz;;Iran;Asia;3.132.028;4.866.917;Writer;Language;Humanities;82;1198671;14618;263.765
1557;Agrippina the Younger;Female;15;Cologne;;Germany;Europe;5.093.639;695.278;Politician;Government;Institutions;34;1768082;52002;263.754
153994;Octave Mirbeau;Male;1848;Trévières;;France;Europe;493.092;-0.903;Writer;Language;Humanities;117;822518;7030;263.727
16300;Julian the Apostate;Male;330;Istanbul;;Turkey;Asia;4.101.224;2.897.602;Politician;Government;Institutions;52;1802103;34656;263.726
